state,last_processed
SP,2025-07-30 11:35:41
RJ,2025-07-30 12:04:50
MG,2025-07-30 12:32:15
ES,2025-07-30 10:34:30
PR,2025-07-29 07:02:55
SC,2025-07-29 07:27:31
RS,2025-07-29 07:56:03
GO,2025-07-29 08:16:12
MT,2025-07-29 08:34:58
MS,2025-07-29 08:52:18
TO,2025-07-29 08:56:14
AC,2025-07-29 09:07:46
AM,2025-07-29 09:20:14
RR,2025-07-29 09:23:14
AP,2025-07-29 09:25:59
PA,2025-07-29 09:33:34
RO,2025-07-29 09:36:45
MA,2025-07-29 09:42:03
PI,2025-07-29 09:55:35
CE,2025-07-29 10:10:30
RN,2025-07-29 10:24:31
PB,2025-07-29 10:41:30
PE,2025-07-28 19:32:00
AL,2025-07-28 19:34:55
SE,2025-07-28 19:37:41
DF,2025-07-28 19:41:01
